nameWithOwner,stargazerCount,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,totalIssues,closedIssues
Snailclimb/JavaGuide,151756,2018-05-07T13:27:00Z,2025-09-16T20:30:43Z,Java,1185,0,1107,1036
krahets/hello-algo,116777,2022-11-04T11:08:34Z,2025-09-16T20:42:31Z,Java,947,9,271,259
GrowingGit/GitHub-Chinese-Top-Charts,102231,2019-09-05T03:01:56Z,2025-09-16T19:24:35Z,Java,0,0,340,161
iluwatar/java-design-patterns,92680,2014-08-09T16:45:18Z,2025-09-16T20:34:43Z,Java,1507,0,959,830
macrozheng/mall,81584,2018-04-04T01:11:44Z,2025-09-16T15:47:18Z,Java,1,3,497,487
spring-projects/spring-boot,78390,2012-10-19T15:02:57Z,2025-09-16T20:28:02Z,Java,42,320,39538,38974
doocs/advanced-java,78241,2018-10-06T11:38:30Z,2025-09-16T15:23:22Z,Java,88,1,147,146
MisterBooo/LeetCodeAnimation,76449,2018-12-06T08:01:22Z,2025-09-16T19:15:01Z,Java,63,0,62,42
elastic/elasticsearch,73798,2010-02-08T13:20:56Z,2025-09-16T21:09:03Z,Java,81574,208,40936,36559
Stirling-Tools/Stirling-PDF,67407,2023-01-27T18:22:42Z,2025-09-16T21:06:17Z,Java,2351,138,1419,1083
